;01/01/15;01/02/15;01/03/15;01/04/15;01/05/15;01/06/15;01/07/15;01/08/15;01/09/15;01/10/15;01/11/15;01/12/15;01/01/16;01/02/16;01/03/16;01/04/16;01/05/16;01/06/16;01/07/16;01/08/16;01/09/16;01/10/16;01/11/16;01/12/16;01/01/17;01/02/17;01/03/17;01/04/17
Total;6,97;7,05;7,43;7,52;7,47;7,36;7,27;7,31;7,37;7,44;7,54;7,52;7,55;7,72;7,97;7,93;7,9;7,54;7,4;7,33;7,41;7,9;;8,26;8,27;8,55;8,49;8,31
Santa Eugènia;6,19;6,44;6,58;6,61;6,55;6,56;6,52;6,68;6,65;6,57;6,53;6,45;6,52;6,77;7,04;7;6,98;7,01;6,97;7,06;7,1;;;;;;;7,55
Eixample sud – Migdia;7,09;7,23;7,55;7,61;7,53;7,55;7,57;7,58;7,65;7,61;7,52;7,58;7,55;7,72;7,9;7,74;7,66;7,2;7,03;7,07;7,28;8,24;;8,55;8,54;8,9;9;8,89
centre;7,23;7,17;7,69;7,81;8,07;7,71;7,54;7,52;7,65;7,93;8,4;8,24;8,19;8,49;8,5;806;8,34;7,98;7,75;7,83;7,87;8,43;;9,32;9,26;9,78;9,41;9,1
Eixample Nord-Devesa;7,17;7,22;7,7;7,84;7,65;7,5;7,35;7,39;7,46;7,49;7,62;7,63;7,61;7,71;8,12;7,1;8,1;7,7;7,53;7,27;7,32;7,57;;7,87;8,03;8,17;8,2;8,04
